"Name" "Chr" "Pos" "cM"
"M1" "M1" 1 157104 0.104017484547811
"M2" "M2" 1 238347 0.159032864787631
"M3" "M3" 1 239225 0.159627420673683
"M4" "M4" 1 255850 0.170885383778037
"M5" "M5" 1 263938 0.176362340505135
"M6" "M6" 1 325012 0.217719864633574
"M7" "M7" 1 333078 0.223181923604986
"M8" "M8" 1 379844 0.254850489171194
"M9" "M9" 1 395380 0.265371013369043
"M10" "M10" 1 485953 0.326704396361562
"M11" "M11" 1 613257 0.412910936814894
"M12" "M12" 1 659354 0.444126475174075
"M13" "M13" 1 681011 0.458791961306465
"M14" "M14" 1 681704 0.459261240610605
"M15" "M15" 1 763292 0.514510244746425
"M16" "M16" 1 763589 0.514711364448199
"M17" "M17" 1 824379 0.555876572094133
"M18" "M18" 1 982217 0.662759843099546
"M19" "M19" 1 992572 0.669771945833115
"M20" "M20" 1 993764 0.670579133323063
"M21" "M21" 1 999471 0.674443746582404
"M22" "M22" 1 999598 0.674529747262961
"M23" "M23" 1 999765 0.674642834772039
"M24" "M24" 1 1167803 0.788433247050498
"M25" "M25" 1 1205781 0.814150836390477
"M26" "M26" 1 1400261 0.945846996663241
"M27" "M27" 1 1567151 1.05886001696313
"M28" "M28" 1 1568998 1.06011075127012
"M29" "M29" 1 1666173 1.12591481531015
"M30" "M30" 1 1686635 1.13977108244046
"M31" "M31" 1 1761938 1.1907640686448
"M32" "M32" 1 1968281 1.3304935050864
"M33" "M33" 1 2038772 1.37822794581957
"M34" "M34" 1 2039864 1.37896741623822
"M35" "M35" 1 2043319 1.38130704105178
"M36" "M36" 1 2043987 1.38175939108809
"M37" "M37" 1 2044238 1.38192936093707
"M38" "M38" 1 2044555 1.3821440240531
"M39" "M39" 1 2045035 1.38246906599536
"M40" "M40" 1 2045583 1.38284015554611
"M41" "M41" 1 2301705 1.55627847291233
"M42" "M42" 1 2306521 1.55953972706634
"M43" "M43" 1 2428671 1.64225612966465
"M44" "M44" 1 2687631 1.81761625751448
"M45" "M45" 1 2895697 2.65288612830294
"M46" "M46" 1 3027386 3.3887433030906
"M47" "M47" 1 3040632 3.46275984309955
"M48" "M48" 1 3270679 4.26341447392446
"M49" "M49" 1 3278670 4.29122631739524
"M50" "M50" 1 3282920 4.30601799988189
"M51" "M51" 1 3284839 4.31269687957409
"M52" "M52" 1 3356688 4.56275984309955
"M53" "M53" 1 3360440 4.57126334467469
"M54" "M54" 1 3361968 4.57472639115838
"M55" "M55" 1 3665549 5.26275984309955
"M56" "M56" 1 3742478 5.53656193384778
"M57" "M57" 1 3830498 5.84983859190469
"M58" "M58" 1 3882714 6.03568333147637
"M59" "M59" 1 4021601 6.53000343153942
"M60" "M60" 1 4044963 6.61315236684418
"M61" "M61" 1 4150727 6.98958263794996
"M62" "M62" 1 4452253 8.06275984309955
"M63" "M63" 1 4452909 8.06597240080479
"M64" "M64" 1 4609260 8.83165320838433
"M65" "M65" 1 4609477 8.83271589896671
"M66" "M66" 1 4610354 8.83701073602082
"M67" "M67" 1 4796398 9.72923033611999
"M68" "M68" 1 4993529 10.5963134539262
"M69" "M69" 1 5247339 11.7126998473925
"M70" "M70" 1 5540876 14.685198472868
"M71" "M71" 1 5653264 16.0627598430995
"M72" "M72" 1 5728454 16.7857591507741
"M73" "M73" 1 5732049 16.8203273448304
"M74" "M74" 1 5748338 16.976956360959
"M75" "M75" 1 5749874 16.9917259704361
"M76" "M76" 1 5809260 17.5627598430995
"M77" "M77" 1 5833250 17.5935481468809
"M78" "M78" 1 5954473 17.7491234094606
"M79" "M79" 1 6242103 18.2977717001502
"M80" "M80" 1 6411540 19.0558936200336
"M81" "M81" 1 6431690 19.1460519484132
"M82" "M82" 1 6535828 19.6120027176833
"M83" "M83" 1 6547772 19.6633972137332
"M84" "M84" 1 6777249 19.9071670485746
"M85" "M85" 1 6782009 19.9122235222684
"M86" "M86" 1 6844300 19.9783942791726
"M87" "M87" 1 7087062 20.8627598430995
"M88" "M88" 1 7347504 21.5627598430995
"M89" "M89" 1 7688437 22.62335514531
"M90" "M90" 1 7715511 22.7075786062599
"M91" "M91" 1 7824668 23.0471509017062
"M92" "M92" 1 7861023 23.1602462671061
"M93" "M93" 1 7861831 23.1627598430995
"M94" "M94" 1 7866418 23.1711125391976
"M95" "M95" 1 7998309 23.4112794110246
